gM,rbM,rI,gI,bI
5,4,58,49,55
2,1,113,107,148
2,2,83,84,90
6,4,47,34,83
5,6,39,41,39
7,5,45,33,41
4,5,47,53,43
2,1,123,107,129
4,4,57,55,55
3,3,71,68,72
2,2,82,104,98
4,4,43,51,53
6,3,54,39,68
3,3,60,74,72
4,4,43,54,50
4,4,59,52,52
2,2,99,123,116
3,4,49,69,60
5,3,82,45,69
6,4,45,37,74
5,5,52,43,30
2,1,111,113,132
2,2,95,107,102
4,5,41,51,45
7,5,38,31,60
2,1,96,108,141
2,2,90,85,109
1,1,129,143,150
4,3,58,51,83
2,1,113,104,133
5,3,59,43,79
2,2,96,120,113
6,4,37,39,78
5,3,68,42,60
1,1,117,150,140
3,3,66,64,62
4,5,41,49,42
3,3,62,68,64
5,5,48,46,45
6,5,37,35,46
5,3,65,46,81
6,5,42,40,43
1,2,109,134,124
3,3,66,75,71
7,6,36,33,40
3,3,59,66,63
5,4,41,48,68
8,5,30,28,58
4,4,43,53,50
2,2,93,105,102
4,4,41,51,61
4,5,36,49,49
3,3,53,71,70
3,3,60,78,65
4,4,47,50,65
2,2,81,102,93
4,4,49,49,50
2,2,85,85,88
7,6,35,31,34
7,6,32,32,39
2,3,72,89,66
2,2,78,101,92
5,6,36,43,40
4,4,59,58,59
2,1,123,115,147
4,5,38,51,45
4,4,48,60,54
5,5,48,44,44
1,2,103,132,120
4,4,57,55,54
6,6,35,37,37
4,4,55,50,53
3,4,48,69,66
2,2,91,104,93
2,2,86,102,91
8,6,28,26,49
5,4,54,49,49
2,2,100,119,105
3,3,73,79,74
5,4,48,49,58
6,6,32,37,39
6,6,34,38,36
5,6,35,43,40
2,2,99,115,107
4,5,46,56,48
8,6,30,25,43
2,2,73,85,86
1,2,106,135,126
3,3,62,63,60
5,4,46,42,54
6,5,46,37,48
5,4,47,49,51
1,2,112,135,126
3,3,63,64,68
6,5,41,37,39
6,6,33,37,37
3,3,67,73,71
8,5,37,26,42
3,3,51,83,76
4,2,73,56,84
3,3,54,71,67
3,2,77,63,88
4,5,41,53,41
2,2,105,117,114
5,4,46,44,52
3,3,58,68,64
5,5,34,41,53
3,2,106,65,100
5,3,58,45,78
4,2,71,59,99
3,3,60,69,65
5,4,49,47,52
4,4,56,53,53
3,3,63,78,71
7,5,33,33,55
8,6,31,26,47
1,2,105,139,127
7,5,34,32,50
8,5,35,28,45
3,3,68,74,70
4,3,50,57,64
5,5,46,48,40
6,6,31,35,40
2,2,79,106,99
3,4,44,67,60
6,6,35,40,38
7,6,33,30,38
3,3,60,76,73
2,2,83,112,103
3,3,62,75,72
3,4,49,72,73
4,3,51,53,69
3,3,61,68,63
5,4,43,45,50
7,4,46,31,52
3,2,115,74,95
4,4,46,58,68
8,6,30,26,42
2,1,115,120,128
5,4,43,46,50
2,3,58,90,70
3,3,72,68,80
2,2,86,112,106
7,6,34,32,36
5,3,70,47,79
6,6,38,39,40
2,2,78,94,91
2,2,104,84,123
3,4,49,77,66
4,5,41,55,45
1,1,108,128,134
4,4,58,56,58
5,4,50,43,51
3,2,80,73,115
7,6,29,32,39
6,6,35,39,39
7,6,30,32,35
5,5,43,44,43
4,5,42,52,40
4,2,65,56,89
5,4,53,45,54
1,2,113,133,125
2,2,73,93,89
3,3,56,70,90
1,1,129,141,133
2,2,86,105,98
5,5,46,44,48
5,5,44,45,42
2,2,95,104,121
3,4,57,68,51
2,2,109,117,117
6,5,35,39,41
3,3,65,66,66
3,3,62,77,75
3,2,87,77,93
5,6,35,47,39
2,2,100,120,109
4,4,49,52,51
4,4,52,61,58
1,1,112,148,130
5,5,46,42,43
5,3,57,47,77
2,2,92,107,101
3,2,97,75,101
3,4,60,65,43
3,3,50,81,77
4,5,40,50,54
7,6,34,33,33
5,5,37,43,46
3,2,101,83,116
4,4,50,51,58
3,2,92,79,115
4,2,62,56,127
1,2,107,131,118
3,2,83,71,118
2,2,99,122,126
4,4,61,62,60
4,5,35,52,44
8,6,24,26,43
2,2,102,121,114
4,4,49,60,50
4,2,75,60,105
4,4,58,57,55
5,4,51,45,47
2,1,95,96,139
5,5,45,41,43
7,4,43,30,55
2,3,65,94,69
3,3,74,77,71
7,4,45,32,52
2,2,74,86,135
5,5,38,43,45
2,2,83,87,114
5,5,39,46,44
4,2,76,62,123
5,5,39,48,46
6,5,34,36,45
2,3,67,84,81
3,3,65,66,59
2,2,95,108,106
7,5,34,33,47
2,2,87,100,95
2,2,80,95,91
2,1,116,106,131
2,2,86,105,101
2,3,79,95,81
2,2,94,121,112
8,5,36,26,48
2,2,99,117,108
2,2,105,118,115
4,4,60,59,60
6,5,44,37,48
2,2,102,115,109
6,6,36,39,37
6,4,60,34,55
4,4,58,53,56
5,4,53,41,61
2,2,101,119,106
5,3,69,43,80
7,6,33,31,39
4,5,42,52,47
2,3,82,88,80
3,3,63,64,60
7,4,46,33,51
4,3,56,60,63
2,2,113,126,118
4,2,74,62,108
5,6,39,48,38
2,2,76,90,85
8,6,32,27,42
3,3,82,77,81
3,3,73,76,77
8,5,41,26,45
4,4,60,59,58
4,4,52,55,57
2,1,112,96,141
5,5,41,47,37
6,6,42,35,26
4,5,39,54,55
3,4,44,68,62
3,3,52,76,71
3,2,72,63,98
5,5,47,42,44
3,3,52,74,83
4,4,50,62,61
4,4,54,56,53
3,2,80,70,95
3,4,43,67,61
7,6,34,31,32
5,5,37,43,41
3,3,78,78,82
3,3,68,71,71
2,2,103,111,109
6,3,50,36,74
5,4,54,49,53
5,3,53,44,77
2,2,84,106,97
8,6,32,28,42
6,6,36,34,37
2,2,107,126,120
2,3,74,84,78
6,3,44,39,95
5,6,44,45,33
5,5,44,46,45
2,2,101,114,109
1,1,127,146,143
6,6,28,35,42
4,5,38,51,44
3,3,74,65,72
5,4,50,49,48
2,2,84,107,101
1,1,123,144,137
5,5,41,46,44
4,4,45,52,64
2,2,85,109,99
3,3,65,78,73
3,2,97,75,102
3,3,60,82,71
6,6,33,37,35
3,3,67,78,76
2,2,88,100,96
2,2,93,117,107
5,3,51,47,64
2,3,61,85,71
2,2,104,123,115
2,2,101,119,113
2,2,104,114,108
3,3,76,79,78
1,1,123,146,147
2,2,98,121,116
5,3,50,47,84
3,4,51,64,59
2,1,104,108,145
5,5,45,45,43
3,3,61,69,66
2,3,73,86,80
5,6,38,48,39
1,1,114,128,128
3,4,47,72,66
2,2,73,99,91
1,2,111,128,116
7,5,32,31,50
5,5,46,42,45
7,6,34,32,33
4,4,46,54,58
6,6,35,35,35
2,2,106,126,117
2,2,75,93,90
6,6,35,37,32
4,4,49,52,50
2,2,104,94,121
2,2,81,93,87
6,4,47,38,68
2,2,91,105,98
5,5,41,41,40
3,3,73,71,75
2,2,84,104,101
3,3,77,80,74
2,2,76,102,96
1,1,123,141,141
7,5,36,32,42
2,2,76,89,105
5,3,65,42,57
2,2,105,100,121
5,3,79,49,70
3,3,75,79,75
1,2,108,135,122
3,5,48,63,49
2,2,66,108,98
4,3,60,62,66
2,2,92,95,127
6,5,42,40,40
7,6,35,32,33
1,2,108,130,120
4,5,45,55,44
1,1,110,140,134
2,2,108,121,118
4,3,62,54,64
8,6,31,28,43
5,2,86,45,63
6,3,63,36,50
5,5,41,44,48
2,2,97,123,115
4,6,40,51,38
3,3,53,66,89
2,2,98,106,105
6,5,43,39,41
8,6,31,27,39
2,2,80,91,86
4,4,54,62,59
2,2,78,93,88
4,3,57,57,72
2,2,107,118,115
1,2,104,129,118
4,4,44,60,64
2,2,88,100,94
8,5,42,25,38
5,5,43,46,45
7,6,29,30,37
2,2,68,98,95
8,4,44,28,52
2,2,80,107,101
4,4,53,50,60
2,2,79,95,90
6,6,38,40,40
5,5,50,45,30
8,6,39,28,35
5,4,52,46,57
3,2,70,82,110
1,1,122,146,147
3,3,82,76,80
3,4,57,70,49
2,2,98,111,99
2,2,98,117,111
7,5,40,31,42
3,3,51,66,65
6,5,41,40,48
3,2,92,65,80
7,6,36,33,39
2,3,59,97,93
2,1,102,125,132
4,4,54,58,56
6,3,66,38,80
2,2,107,123,115
2,2,94,112,114
4,2,77,62,89
5,5,38,48,41
3,3,78,68,76
7,6,31,32,39
6,4,42,37,77
2,2,85,115,106
2,2,66,105,98
2,1,109,93,132
2,2,108,119,116
5,6,33,40,39
2,1,118,114,139
6,5,35,34,47
8,5,48,26,40
4,5,40,49,44
2,2,104,118,111
3,3,71,72,67
7,5,44,30,49
2,2,106,123,115
3,3,69,73,72
6,6,39,39,37
3,2,88,73,93
2,2,106,116,108
3,3,59,73,70
3,3,69,70,65
6,4,42,37,51
4,4,41,57,57
2,1,94,99,133
2,2,101,118,109
