gM,rbM,rI,gI,bI
9,13,13,24,23
15,30,6,14,8
17,46,2,7,4
16,38,2,6,3
21,37,2,5,4
24,29,6,8,5
13,26,1,6,4
7,15,11,33,25
5,19,2,5,3
24,25,5,7,4
10,16,16,22,12
24,46,2,5,4
10,14,16,23,15
21,29,4,10,12
16,41,1,6,4
12,19,2,5,4
23,45,3,8,5
22,44,2,8,6
14,27,1,4,4
14,26,1,4,4
15,43,3,14,10
22,39,2,5,4
10,18,2,4,3
16,26,6,14,12
13,32,5,17,10
6,11,2,4,3
15,37,4,15,9
20,17,2,6,6
15,20,7,15,17
14,35,2,6,4
6,18,10,39,17
12,30,1,4,3
6,15,1,5,3
23,22,9,9,7
24,31,2,6,6
7,20,9,32,16
17,37,2,5,4
20,25,8,10,6
8,19,2,4,3
12,24,2,5,3
23,38,2,5,4
12,19,11,18,11
15,27,3,6,4
21,30,2,6,5
8,21,8,27,17
10,34,1,5,3
12,31,2,5,4
9,13,20,25,15
20,35,4,8,5
8,17,12,29,15
9,16,1,5,4
9,21,10,25,11
11,28,6,20,12
15,35,1,6,4
13,31,2,5,3
21,32,3,10,11
13,20,1,6,4
21,37,5,9,4
13,26,6,17,13
23,44,3,8,6
14,29,5,15,12
7,19,12,32,12
13,33,2,5,4
24,13,2,7,8
8,20,2,4,3
15,26,2,5,4
8,23,7,27,17
19,43,2,6,3
15,42,4,14,7
17,28,3,5,4
7,24,7,33,16
22,37,3,7,5
20,43,2,7,5
14,24,1,5,4
21,31,4,7,4
21,26,4,6,4
24,34,5,8,6
6,17,11,39,17
14,32,1,4,3
13,33,5,17,9
5,13,1,5,3
17,29,7,12,7
24,36,2,6,5
12,34,4,19,14
12,46,1,6,3
21,42,2,5,4
5,11,20,42,22
14,26,7,15,10
12,36,1,6,3
12,38,1,6,3
12,14,19,18,13
22,29,6,9,5
7,23,7,30,17
21,28,2,6,5
21,42,2,5,3
11,19,11,21,12
9,39,1,6,3
23,25,3,8,8
20,38,3,7,5
13,37,1,6,4
5,15,13,42,18
10,13,2,4,4
21,28,4,6,4
15,36,1,5,4
16,32,6,13,7
21,46,3,9,5
15,45,1,5,3
16,33,1,5,4
18,38,3,7,4
10,26,6,22,14
6,20,1,4,3
11,35,4,21,14
6,11,19,36,21
17,40,1,5,3
13,21,10,17,10
19,29,3,5,4
13,25,2,5,3
16,18,2,6,5
16,30,3,6,3
18,26,2,5,4
8,26,1,4,3
21,34,4,7,4
21,46,2,6,4
12,23,10,19,9
17,39,1,5,3
13,22,9,17,11
12,32,1,4,3
5,15,10,47,30
9,14,16,26,16
8,21,10,28,12
22,26,2,7,6
9,14,11,24,26
15,28,2,6,5
19,28,3,5,4
15,15,2,5,5
20,33,3,6,4
16,25,3,6,5
24,33,4,7,6
17,32,2,5,3
14,27,2,6,5
7,11,16,31,26
15,31,5,15,11
8,21,8,28,16
16,33,2,5,3
11,30,6,20,9
19,34,6,11,6
13,25,2,6,5
14,29,2,6,4
9,25,7,24,12
17,25,2,5,4
12,19,2,4,3
10,14,2,5,5
12,19,15,18,8
22,28,6,9,8
8,20,9,28,14
21,34,3,7,6
22,22,2,6,6
6,13,12,38,30
18,28,8,12,6
22,41,3,6,3
17,40,1,5,4
18,29,2,5,4
10,20,10,22,13
14,36,2,6,3
11,20,11,21,11
23,33,4,7,4
13,36,2,6,4
5,16,10,45,23
5,11,13,44,42
14,27,8,15,8
18,46,2,6,3
21,34,3,6,3
8,15,2,5,3
7,15,13,30,18
6,18,8,36,29
19,44,2,6,3
23,35,5,8,4
20,33,5,9,6
22,34,4,8,7
18,24,8,12,9
14,21,1,6,4
9,15,12,24,19
19,46,2,6,3
17,21,11,13,8
15,20,10,15,11
16,43,3,14,9
16,21,2,5,4
8,14,18,28,14
5,12,14,43,32
11,16,14,21,14
9,21,7,26,20
19,38,4,11,7
16,23,12,14,6
7,11,19,32,20
15,31,2,6,4
23,29,2,6,5
21,44,3,9,7
21,38,3,6,4
12,26,2,5,3
8,19,9,28,17
9,17,2,5,4
16,28,7,13,8
22,46,2,6,5
18,34,5,11,7
16,25,11,14,6
19,38,2,6,5
12,21,2,6,5
8,14,15,29,18
12,21,8,19,15
21,40,4,8,4
7,11,24,34,17
22,28,6,8,6
16,17,17,14,7
11,17,12,20,15
9,41,1,5,3
16,31,5,13,10
19,37,1,5,4
5,13,17,43,17
23,34,2,7,5
7,22,8,30,15
10,30,5,23,14
15,25,10,14,7
13,21,2,5,5
9,14,24,25,10
14,40,1,6,3
12,21,7,18,17
14,26,1,6,4
7,22,1,5,4
14,33,1,4,3
17,37,6,12,5
17,26,5,13,14
12,20,9,19,15
16,27,6,13,10
6,17,11,36,16
10,26,1,5,3
11,20,9,20,14
24,41,2,7,5
13,20,12,17,10
15,38,2,5,4
19,26,8,11,7
13,18,2,6,5
5,16,9,44,29
10,15,13,22,18
9,25,6,24,17
13,20,2,6,4
13,24,8,17,11
17,22,12,13,7
17,36,3,7,4
6,15,2,4,3
11,38,4,20,10
19,27,2,6,5
17,33,5,12,8
8,11,17,29,27
16,36,4,13,9
24,22,3,8,8
22,40,2,5,3
21,45,3,10,7
24,27,5,7,5
7,19,8,34,21
18,39,2,6,4
12,18,14,18,10
15,36,4,14,9
14,17,2,6,5
17,41,1,6,4
12,40,4,18,9
8,21,2,5,3
6,12,1,4,3
12,16,10,18,21
24,19,2,7,7
24,31,2,8,8
15,34,1,6,4
9,30,1,6,4
22,32,4,7,5
16,22,12,14,7
21,30,4,7,4
23,37,4,7,4
18,40,2,5,3
17,35,2,5,3
