gM,rbM,rI,gI,bI
3,3,31,26,47
2,2,17,17,21
3,3,33,24,35
3,2,48,35,58
2,2,69,62,94
2,1,93,107,129
1,1,113,145,151
1,1,126,155,157
1,1,131,155,158
1,1,126,152,152
1,1,110,130,135
2,2,79,78,104
3,2,47,40,69
3,3,27,23,41
3,3,24,20,24
3,3,32,23,33
3,3,44,32,52
3,2,63,53,85
2,1,85,91,120
1,1,106,132,145
1,1,120,151,155
1,1,127,154,157
1,1,130,155,158
1,1,129,154,157
1,1,124,151,152
1,1,111,135,140
2,1,88,96,115
3,2,59,53,82
3,3,36,29,53
3,3,23,21,33
2,2,18,18,23
2,2,16,17,19
3,3,29,22,29
3,3,39,28,43
3,2,54,40,68
2,2,73,65,101
2,1,92,100,128
1,1,107,128,144
1,1,115,141,149
1,1,118,144,149
1,1,115,139,145
1,1,105,124,135
2,1,88,95,115
2,2,65,59,88
3,2,42,34,60
3,3,28,23,39
3,3,33,24,33
3,3,43,30,49
3,2,57,42,72
2,1,84,82,114
2,1,91,95,122
2,1,93,99,123
2,1,88,91,117
2,2,77,75,104
3,2,60,54,83
3,2,43,36,60
3,3,30,25,41
3,3,22,20,29
2,2,18,18,22
3,3,26,21,26
3,3,33,23,34
3,3,41,28,46
3,2,50,35,61
3,2,57,44,75
3,2,62,49,83
3,2,62,51,84
3,2,58,46,79
3,2,49,39,68
3,3,38,31,54
3,3,29,25,40
3,3,22,21,29
3,3,19,19,23
3,3,29,22,30
3,3,34,25,37
3,3,37,27,43
3,3,39,28,48
3,3,39,28,49
3,3,36,27,46
3,3,31,25,40
3,3,26,23,34
3,3,22,21,28
3,3,24,20,25
3,3,26,21,27
3,3,27,21,29
3,3,26,22,29
3,3,20,19,24
3,3,19,19,22
2,2,18,17,21
2,3,19,18,25
2,2,17,17,22
3,3,19,20,20
3,3,22,21,25
3,3,21,20,24
2,3,19,18,22
3,3,20,19,25
3,3,23,20,30
3,3,26,21,35
3,3,28,23,40
3,3,29,24,43
3,3,27,24,44
3,3,24,22,40
3,3,21,20,34
2,2,18,18,27
2,2,16,16,21
3,3,22,23,25
3,3,24,24,28
3,3,29,26,36
3,3,32,27,40
3,3,33,27,44
3,3,32,27,45
3,3,30,26,43
3,3,26,24,39
3,3,23,21,32
3,3,23,21,29
3,3,29,25,38
3,3,35,29,50
3,2,44,35,62
3,2,51,41,71
3,2,54,44,76
3,2,51,43,76
3,2,42,37,69
3,3,32,29,57
3,3,23,22,42
3,3,25,25,28
3,3,29,28,33
3,3,35,31,40
3,3,43,34,50
3,2,52,36,62
3,2,58,40,74
3,2,62,44,82
3,2,60,45,85
3,2,55,42,82
3,2,45,36,73
3,2,35,29,59
3,3,26,24,43
3,3,26,22,32
3,3,34,28,44
3,2,45,39,62
3,2,60,54,82
2,2,76,71,100
2,1,86,86,111
2,1,90,95,116
2,1,87,91,115
2,2,75,77,106
3,2,56,53,88
3,2,37,33,64
3,3,24,22,42
3,3,26,25,29
3,3,33,30,37
3,3,43,37,50
3,2,56,46,66
3,2,73,55,84
2,2,88,65,102
2,1,98,81,117
2,1,104,89,124
2,1,102,93,127
2,1,94,84,124
2,1,80,73,114
3,2,61,53,97
3,2,41,36,74
3,3,28,26,48
3,3,21,20,30
2,2,18,18,21
3,3,26,21,30
3,3,35,28,45
3,2,50,43,68
2,2,69,68,94
2,1,90,102,117
1,1,108,127,133
1,1,119,140,142
1,1,122,143,145
1,1,120,141,144
1,1,109,127,136
2,1,85,94,117
3,2,34,29,58
3,3,22,20,35
3,3,20,20,21
3,3,27,25,28
3,3,35,30,37
3,3,51,38,52
3,2,72,54,76
2,2,91,77,103
1,1,108,109,124
1,1,118,124,138
1,1,125,135,146
1,1,128,143,149
1,1,128,143,150
1,1,123,140,149
1,1,112,128,144
2,1,93,98,132
2,1,67,63,109
3,2,42,37,76
3,3,27,25,46
3,3,20,20,27
3,3,24,19,25
3,3,32,24,38
3,2,47,37,63
2,2,69,65,95
2,1,93,107,124
